					
9	blackboard	黑板		1	英语
10	book	书		1	英语
16	close	关上，合上		1	英语
17	come in	进来		1	英语
23	door	门		1	英语
39	in class	在上课		1	英语
42	listen to	听		1	英语
49	Mr	先生		1	英语
58	open	开，打开		1	英语
62	parrot	鹦鹉		1	英语
69	please	请		1	英语
71	rubber	橡皮		1	英语
78	Sit down.	坐下。		1	英语
81	sorry	对不起		1	英语
82	Stand up.	起立。		1	英语
85	the	这个，这些，那个，那些		1	英语
103	window	窗户		1	英语
118	window	窗户		1	英语
24	drink	喝		2	英语
26	eat	吃		2	英语
29	English	英语		2	英语
35	here	这里，在这里		2	英语
38	in	在......里		2	英语
41	library	图书馆		2	英语
48	milk	牛奶		2	英语
73	run	跑，跑步		2	英语
76	shh	嘘		2	英语
77	shout	喊，叫		2	英语
80	sleep	睡觉		2	英语
83	talk	说话，谈话		2	英语
106	your	你的，你们的		2	英语
121	your	你的，你们的		2	英语
20	crayon	蜡笔		3	英语
45	lunch box	午餐盒		3	英语
61	over there	在那里		3	英语
64	pen	钢笔		3	英语
65	pencil	铅笔		3	英语
66	pencil case	铅笔盒，铅笔袋		3	英语
72	ruler	尺		3	英语
74	schoolbag	书包		3	英语
101	where	在哪里		3	英语
116	where	在哪里		3	英语
5	beautiful	漂亮的，美丽的		4	英语
7	behind	在......后面		4	英语
8	bird	鸟		4	英语
13	chair	椅子		4	英语
21	desk	课桌，书桌		4	英语
34	guess	猜，猜测		4	英语
54	oh	哦，啊		4	英语
56	on	在......上面		4	英语
57	one	一		4	英语
89	three	三		4	英语
90	tree	树		4	英语
93	two	二		4	英语
94	under	在......下面		4	英语
105	wow	哇，呀		4	英语
109	two	二		4	英语
110	under	在......下面		4	英语
120	wow	哇，呀		4	英语
27	eight	八		5	英语
31	five	五		5	英语
32	four	四		5	英语
36	How old are you?	你多大？		5	英语
40	It’s time for ...	是......的时候了。		5	英语
43	lovely	可爱的		5	英语
46	Make a wish.	许个愿吧。		5	英语
52	nine	九		5	英语
60	out	出局		5	英语
70	right	对的，正确的		5	英语
75	seven	七		5	英语
79	six	六		5	英语
84	ten	十		5	英语
96	want	想要，想		5	英语
99	What a nice cake!	多么漂亮的蛋糕啊！		5	英语
112	want	想要，想		5	英语
4	bag	包，书包		6	英语
6	bed	床		6	英语
12	breakfast	早餐，早饭		6	英语
15	class	课，上课		6	英语
22	dinner	晚餐，晚饭		6	英语
28	eleven	十一		6	英语
37	Hurry up.	快点。		6	英语
44	lunch	午餐，午饭		6	英语
50	mum	妈妈		6	英语
53	o’clock	⋯⋯点钟		6	英语
55	OK	好，行		6	英语
86	these	这些		6	英语
91	twelve	十二		6	英语
95	wake up	醒，醒来		6	英语
100	What time is it?	几点了？		6	英语
107	twelve	十二		6	英语
111	wake up	醒，醒来		6	英语
115	What time is it?	几点了？		6	英语
1	apple	苹果		7	英语
14	chicken	鸡		7	英语
19	cow	奶牛		7	英语
25	duck	鸭子		7	英语
30	farm	农场		7	英语
59	orange	橙子		7	英语
63	pear	梨		7	英语
67	picture	图画，照片		7	英语
68	pig	猪		7	英语
87	they	他们，她们，它们		7	英语
88	those	那些		7	英语
98	Welcome to ...	欢迎来到⋯⋯		7	英语
102	who	谁		7	英语
114	Welcome to ...	欢迎来到⋯⋯		7	英语
117	who	谁		7	英语
2	aunt	姑母，姨母，伯母，婶母，舅母		8	英语
3	baby	婴儿，宝宝		8	英语
11	boy	男孩		8	英语
18	cousin	堂兄（弟），堂姐（妹），表兄（弟），表姐（妹）		8	英语
33	girl	女孩		8	英语
47	man	男人，人		8	英语
51	name	名字		8	英语
92	twin	双胞胎之一		8	英语
97	we	我们		8	英语
104	woman	妇女，女人		8	英语
108	twin	双胞胎之一		8	英语
113	we	我们		8	英语
119	woman	妇女，女人		8	英语
122	乌黑	wūhēi		2	语文
123	活泼	huópō		2	语文
124	春日	chūnrì		2	语文
125	轻风	qīngfēng		2	语文
126	吹拂	chuīfú		2	语文
127	洒落	sǎluò		2	语文
128	赶集	gǎnjí		2	语文
129	聚拢	jùlǒng		2	语文
130	形成	xíngchéng		2	语文
131	加入	jiārù		2	语文
132	春光	chūnguāng		2	语文
133	湖面	húmiàn		2	语文
134	偶尔	ǒuěr		2	语文
135	闲散	xiánsǎn		2	语文
136	纤细	xiānxì		2	语文
137	荷花	héhuā		3	语文
138	清香	qīngxiāng		3	语文
139	圆盘	yuánpán		3	语文
140	花瓣	huābàn		3	语文
141	莲蓬	liánpéng		3	语文
142	破裂	pòliè		3	语文
143	姿势	zīshì		3	语文
144	眼前	yǎnqián		3	语文
145	本领	běnlǐng		3	语文
146	仿佛	fǎngfú		3	语文
147	随风	suífēng		3	语文
148	飘动	piāodòng		3	语文
149	舞蹈	wǔdǎo		3	语文
150	停止	tíngzhǐ		3	语文
151	国王	guówáng		6	语文
152	骄傲	jiāoào		6	语文
153	傲慢	àomàn		6	语文
154	谦虚	qiānxū		6	语文
155	懦弱	nuòruò		6	语文
156	神气	shénqì		6	语文
157	住嘴	zhùzuǐ		6	语文
